Texto,Sentimento,Confiança,Probabilidades
"The stock market showed strong gains today.",positive,1.0,"{"negative": 0.0, "neutral": 1.181914021820347e-165, "positive": 1.0}"
"The market has seen some quite dificult times, but all is better now.",positive,1.0,"{"negative": 1.128352198776014e-99, "neutral": 6.18722062608992e-79, "positive": 1.0}"
"Everything is bad",negative,1.0,"{"negative": 1.0, "neutral": 1.904771334711507e-40, "positive": 6.303761652057723e-120}"
"The market has seen some quite dificult times, but all is better now. Altough, who knows",positive,1.0,"{"negative": 2.8422701198016133e-83, "neutral": 1.3597229472248376e-53, "positive": 1.0}"
"The market has seen some quite dificult times, but all is better now. Altough, who knows",positive,1.0,"{"negative": 2.8422701198016133e-83, "neutral": 1.3597229472248376e-53, "positive": 1.0}"
"Eu estou bem",positive,0.9999402569051963,"{"negative": 1.912216822389234e-248, "neutral": 5.974309480641159e-05, "positive": 0.9999402569051963}"
"Como você está ?
",neutral,1.0,"{"negative": 1.109118982245051e-228, "neutral": 1.0, "positive": 5.358214858932133e-100}"
"Nós estamos bem
",neutral,1.0,"{"negative": 8.541413186777586e-85, "neutral": 1.0, "positive": 1.4317199328320376e-58}"
"O mercado está reagindo 10% melhor após as negociações das taxas.
",neutral,1.0,"{"negative": 2.4391273438650683e-111, "neutral": 1.0, "positive": 2.952831836276637e-88}"
"As coisas estão melhores.",neutral,1.0,"{"negative": 6.7176035565386755e-115, "neutral": 1.0, "positive": 5.2103703810530466e-98}"
"Everything is quite better now
",positive,1.0,"{"negative": 3.2728766487976147e-233, "neutral": 1.1564739506042658e-150, "positive": 1.0}"
"Everything is quite bad now
",negative,1.0,"{"negative": 1.0, "neutral": 1.9000069796544105e-61, "positive": 2.1615635935513297e-146}"
"Everything is quite meh now
",neutral,1.0,"{"negative": 7.655695899747676e-102, "neutral": 1.0, "positive": 2.2824377836461554e-129}"
"The stock market showed strong gains today.",positive,1.0,"{"negative": 0.0, "neutral": 1.181914021820347e-165, "positive": 1.0}"
"The stock market showed strong gains today.",positive,1.0,"{"negative": 0.0, "neutral": 1.181914021820347e-165, "positive": 1.0}"
"The stock market showed strong gains today.",positive,1.0,"{"negative": 0.0, "neutral": 1.181914021820347e-165, "positive": 1.0}"
"The stock market showed strong gains today.",positive,1.0,"{"negative": 0.0, "neutral": 1.181914021820347e-165, "positive": 1.0}"
